tourney_id,tourney_name,surface,tourney_date,winner_name,loser_name,score,round,minutes,scraping_date,draw_size,tourney_level,match_num,winner_id,winner_seed,winner_entry,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_hand,loser_ht,loser_ioc,loser_age,best_of,winner_rank,winner_rank_points,loser_rank,loser_rank_points,court_ace_pct,court_speed
2026-brisbane-1,brisbane,Hard,20260104,Daniil Medvedev,Frances Tiafoe,6-3 6-2,Round of 16 ,100,2026-03-04,0,0,0,0,0,0,R,198.0,RUS,30,0,0,0,R,188.0,USA,28,0,11.0,0,22.0,0,14.9,1.2
2026-brisbane-1,brisbane,Hard,20260104,Sebastian Korda,Jiri Lehecka,6-3 1-2,Round of 16 ,100,2026-03-04,0,0,0,0,0,0,R,196.0,USA,26,0,0,0,R,185.0,CZE,25,0,37.0,0,23.0,0,14.9,1.2
2026-brisbane-1,brisbane,Hard,20260104,Alex Michelsen,Learner Tien,6-4 6-2,Round of 16 ,100,2026-03-04,0,0,0,0,0,0,R,193.0,USA,22,0,0,0,R,180.0,USA,21,0,44.0,0,27.0,0,14.9,1.2
2026-brisbane-1,brisbane,Hard,20260104,Kamil Majchrzak,Reilly Opelka,6-7 2-6 7-7 7-6,Round of 16 ,100,2026-03-04,0,0,0,0,0,0,R,180.0,POL,30,0,0,0,R,211.0,USA,29,0,57.0,0,68.0,0,14.9,1.2
2026-brisbane-1,brisbane,Hard,20260104,Brandon Nakashima,Alejandro Davidovich Fokina,7-6 6-4,Round of 32 ,100,2026-03-04,0,0,0,0,0,0,R,188.0,USA,25,0,0,0,R,183.0,ESP,27,0,30.0,0,19.0,0,14.9,1.2
2026-brisbane-1,brisbane,Hard,20260104,Giovanni Mpetshi Perricard,Tommy Paul,7-6 3-2 7-6,Round of 32 ,100,2026-03-04,0,0,0,0,0,0,R,203.0,FRA,23,0,0,0,R,185.0,USA,29,0,54.0,0,24.0,0,14.9,1.2
2026-brisbane-1,brisbane,Hard,20260104,Raphael Collignon,Denis Shapovalov,6-4 6-2,Round of 32 ,100,2026-03-04,0,0,0,0,0,0,R,191.0,BEL,24,0,0,0,R,185.0,CAN,27,0,77.0,0,39.0,0,14.9,1.2
2026-brisbane-1,brisbane,Hard,20260104,Cameron Norrie,Ugo Humbert,1-6 7-6 7-6,Round of 32 ,100,2026-03-04,0,0,0,0,0,0,R,188.0,GBR,31,0,0,0,R,188.0,FRA,28,0,29.0,0,34.0,0,14.9,1.2
2026-brisbane-1,brisbane,Hard,20260104,Grigor Dimitrov,Pablo Carreno Busta,6-3 6-2,Round of 32 ,100,2026-03-04,0,0,0,0,0,0,R,191.0,BUL,35,0,0,0,R,188.0,ESP,35,0,42.0,0,107.0,0,14.9,1.2
2026-brisbane-1,brisbane,Hard,20260104,Rinky Hijikata,Adam Walton,6-3 6-2,Round of 32 ,100,2026-03-04,0,0,0,0,0,0,R,178.0,AUS,25,0,0,0,R,183.0,AUS,27,0,117.0,0,91.0,0,14.9,1.2
2026-brisbane-1,brisbane,Hard,20260104,Aleksandar Kovacevic,Nick Kyrgios,6-3 6-4,Round of 32 ,100,2026-03-04,0,0,0,0,0,0,R,183.0,USA,28,0,0,0,R,193.0,AUS,31,0,72.0,0,25.0,0,14.9,1.2
2026-brisbane-1,brisbane,Hard,20260104,Daniil Medvedev,Marton Fucsovics,6-2 6-3,Round of 32 ,100,2026-03-04,0,0,0,0,0,0,R,198.0,RUS,30,0,0,0,R,188.0,HUN,34,0,11.0,0,56.0,0,14.9,1.2
2026-brisbane-1,brisbane,Hard,20260104,Jiri Lehecka,Tomas Machac,6-4 6-7 5-2,Round of 32 ,100,2026-03-04,0,0,0,0,0,0,R,185.0,CZE,25,0,0,0,R,183.0,CZE,26,0,23.0,0,50.0,0,14.9,1.2
2026-brisbane-1,brisbane,Hard,20260104,Quentin Halys,Alexei Popyrin,5-7 6-3 6-4,Round of 32 ,100,2026-03-04,0,0,0,0,0,0,R,191.0,FRA,30,0,0,0,R,196.0,AUS,27,0,102.0,0,45.0,0,14.9,1.2
2026-brisbane-1,brisbane,Hard,20260104,Sebastian Korda,Valentin Vacherot,7-6 6-1,Round of 32 ,100,2026-03-04,0,0,0,0,0,0,R,196.0,USA,26,0,0,0,R,193.0,MON,28,0,37.0,0,26.0,0,14.9,1.2
2026-brisbane-1,brisbane,Hard,20260104,Kamil Majchrzak,Daniel Altmaier,7-6 6-4,Round of 32 ,100,2026-03-04,0,0,0,0,0,0,R,180.0,POL,30,0,0,0,R,188.0,GER,28,0,57.0,0,55.0,0,14.9,1.2
2026-brisbane-1,brisbane,Hard,20260104,Alex Michelsen,James Duckworth,6-7 4-6 7-2 6-3,Round of 32 ,100,2026-03-04,0,0,0,0,0,0,R,193.0,USA,22,0,0,0,R,183.0,AUS,34,0,44.0,0,83.0,0,14.9,1.2
2026-brisbane-1,brisbane,Hard,20260104,Reilly Opelka,Dane Sweeny,6-3 7-5,Round of 32 ,100,2026-03-04,0,0,0,0,0,0,R,211.0,USA,29,0,0,0,R,170.0,AUS,25,0,68.0,0,131.0,0,14.9,1.2
2026-brisbane-1,brisbane,Hard,20260104,Learner Tien,Camilo Ugo Carabelli,7-6 6-4,Round of 32 ,100,2026-03-04,0,0,0,0,0,0,R,180.0,USA,21,0,0,0,R,185.0,ARG,27,0,27.0,0,67.0,0,14.9,1.2
