tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2022-9678,Buenos Aires CH,Clay,32,C,20220103,247,144870,10.0,,Federico Agustin Gomez,R,191.0,ARG,25.1,208668,,,Sean Hess,R,178.0,ARG,20.7,6-2 6-2,3,Q1,73.0,3.0,6.0,56.0,30.0,23.0,14.0,8.0,1.0,1.0,0.0,2.0,51.0,27.0,17.0,10.0,8.0,1.0,5.0,947.0,14.0,1506.0,3.0
2022-9678,Buenos Aires CH,Clay,32,C,20220103,249,207793,11.0,,Alec Deckers,R,193.0,NED,21.6,202378,6.0,,Ignacio Carou,R,178.0,URU,22.4,6-3 2-6 7-6(4),3,Q2,132.0,7.0,3.0,77.0,45.0,30.0,15.0,14.0,4.0,9.0,5.0,6.0,100.0,75.0,48.0,12.0,15.0,7.0,12.0,975.0,13.0,775.0,27.0
2022-9678,Buenos Aires CH,Clay,32,C,20220103,251,200331,7.0,,Leonardo Aboian,L,175.0,ARG,23.7,208046,4.0,,Pedro Boscardin Dias,R,180.0,BRA,18.9,6-4 1-6 7-6(3),3,Q2,151.0,2.0,1.0,89.0,47.0,30.0,23.0,14.0,7.0,12.0,5.0,1.0,101.0,62.0,37.0,22.0,15.0,6.0,10.0,853.0,20.0,705.0,34.0
2022-6865,Traralgon CH,Hard,64,C,20220103,286,208103,2.0,,Jiri Lehecka,R,185.0,CZE,20.1,109739,13.0,,Maximilian Marterer,L,188.0,GER,26.5,4-6 6-1 7-5,3,R16,115.0,6.0,3.0,82.0,54.0,42.0,15.0,15.0,0.0,2.0,3.0,2.0,83.0,53.0,34.0,18.0,14.0,3.0,7.0,141.0,484.0,229.0,279.0
2022-6865,Traralgon CH,Hard,64,C,20220103,287,106216,5.0,,Bjorn Fratangelo,R,183.0,USA,28.4,106110,10.0,,Filip Horansky,R,175.0,SVK,28.9,6-4 7-6(5),3,R16,101.0,6.0,2.0,78.0,57.0,45.0,11.0,11.0,3.0,3.0,4.0,1.0,79.0,52.0,38.0,13.0,11.0,2.0,3.0,165.0,422.0,195.0,346.0
2022-6865,Traralgon CH,Hard,64,C,20220103,288,126120,,,Nino Serdarusic,R,191.0,CRO,25.0,200095,,,Nicola Kuhn,R,185.0,GER,21.7,6-3 7-6(8),3,R16,93.0,10.0,3.0,59.0,35.0,31.0,16.0,11.0,0.0,1.0,2.0,1.0,68.0,35.0,27.0,18.0,10.0,7.0,9.0,252.0,246.0,242.0,255.0
2022-6865,Traralgon CH,Hard,64,C,20220103,289,106283,6.0,,Mitchell Krueger,R,188.0,USA,27.9,106293,11.0,,Kimmer Coppejans,R,178.0,BEL,27.9,6-4 6-7(6) 6-1,3,R16,144.0,7.0,0.0,89.0,55.0,39.0,20.0,15.0,2.0,5.0,9.0,0.0,92.0,63.0,36.0,15.0,14.0,3.0,9.0,169.0,404.0,208.0,313.0
2022-6865,Traralgon CH,Hard,64,C,20220103,290,105062,8.0,,Mikhail Kukushkin,R,183.0,KAZ,34.0,144817,9.0,,Marc Andrea Huesler,L,196.0,SUI,25.5,6-4 7-6(6),3,R16,104.0,2.0,1.0,68.0,42.0,30.0,15.0,11.0,1.0,3.0,3.0,2.0,77.0,44.0,30.0,18.0,11.0,5.0,8.0,182.0,366.0,186.0,357.0
2022-6865,Traralgon CH,Hard,64,C,20220103,291,207830,4.0,,Tomas Machac,R,183.0,CZE,21.2,117361,,,Akira Santillan,R,180.0,AUS,24.6,6-1 6-2,3,R16,60.0,1.0,0.0,39.0,28.0,21.0,9.0,7.0,1.0,1.0,2.0,4.0,53.0,28.0,13.0,11.0,8.0,5.0,10.0,143.0,477.0,335.0,144.0
2022-6865,Traralgon CH,Hard,64,C,20220103,297,207411,12.0,,Jesper De Jong,R,180.0,NED,21.5,104468,1.0,,Gilles Simon,R,183.0,FRA,37.0,6-4 6-1,3,QF,85.0,2.0,0.0,56.0,37.0,27.0,13.0,9.0,4.0,4.0,1.0,3.0,54.0,32.0,19.0,12.0,8.0,3.0,6.0,226.0,285.0,122.0,597.0
2022-6865,Traralgon CH,Hard,64,C,20220103,298,106216,5.0,,Bjorn Fratangelo,R,183.0,USA,28.4,106283,6.0,,Mitchell Krueger,R,188.0,USA,27.9,7-6(6) 6-7(6) 7-6(8),3,SF,195.0,14.0,4.0,150.0,100.0,73.0,19.0,18.0,10.0,15.0,9.0,3.0,128.0,75.0,50.0,33.0,18.0,4.0,9.0,165.0,422.0,169.0,404.0
2022-6865,Traralgon CH,Hard,64,C,20220103,299,207830,4.0,,Tomas Machac,R,183.0,CZE,21.2,207411,12.0,,Jesper De Jong,R,180.0,NED,21.5,6-4 6-2,3,SF,78.0,7.0,0.0,46.0,30.0,27.0,8.0,9.0,2.0,3.0,1.0,3.0,60.0,36.0,21.0,10.0,9.0,1.0,5.0,143.0,477.0,226.0,285.0
2022-6865,Traralgon CH,Hard,64,C,20220103,300,207830,4.0,,Tomas Machac,R,183.0,CZE,21.2,106216,5.0,,Bjorn Fratangelo,R,183.0,USA,28.4,7-6(2) 6-3,3,F,105.0,5.0,1.0,71.0,47.0,34.0,12.0,10.0,4.0,6.0,4.0,2.0,78.0,44.0,30.0,13.0,11.0,7.0,11.0,143.0,477.0,165.0,422.0
2022-6865,Traralgon CH,Hard,64,C,20220103,292,207411,12.0,,Jesper De Jong,R,180.0,NED,21.5,200670,7.0,,J J Wolf,R,183.0,USA,23.0,7-6(3) 7-6(10),3,R16,114.0,13.0,3.0,79.0,57.0,45.0,18.0,12.0,2.0,2.0,8.0,1.0,83.0,49.0,37.0,22.0,12.0,2.0,2.0,226.0,285.0,174.0,390.0
2022-6865,Traralgon CH,Hard,64,C,20220103,293,104468,1.0,,Gilles Simon,R,183.0,FRA,37.0,144972,15.0,,Geoffrey Blancaneaux,R,180.0,FRA,23.4,6-0 2-1 RET,3,R16,52.0,1.0,1.0,21.0,10.0,8.0,8.0,4.0,0.0,0.0,0.0,3.0,45.0,31.0,16.0,3.0,5.0,3.0,7.0,122.0,597.0,235.0,271.0
2022-6865,Traralgon CH,Hard,64,C,20220103,294,106216,5.0,,Bjorn Fratangelo,R,183.0,USA,28.4,208103,2.0,,Jiri Lehecka,R,185.0,CZE,20.1,1-6 6-3 7-6(5),3,QF,143.0,5.0,2.0,112.0,67.0,47.0,23.0,14.0,9.0,11.0,10.0,0.0,94.0,57.0,44.0,22.0,14.0,5.0,6.0,165.0,422.0,141.0,484.0
2022-6865,Traralgon CH,Hard,64,C,20220103,295,106283,6.0,,Mitchell Krueger,R,188.0,USA,27.9,126120,,,Nino Serdarusic,R,191.0,CRO,25.0,5-7 6-4 6-1,3,QF,125.0,10.0,4.0,89.0,61.0,45.0,14.0,14.0,5.0,7.0,9.0,4.0,80.0,43.0,22.0,24.0,15.0,0.0,5.0,169.0,404.0,252.0,246.0
2022-6865,Traralgon CH,Hard,64,C,20220103,296,207830,4.0,,Tomas Machac,R,183.0,CZE,21.2,105062,8.0,,Mikhail Kukushkin,R,183.0,KAZ,34.0,3-6 6-3 6-2,3,QF,144.0,6.0,0.0,73.0,51.0,39.0,12.0,13.0,5.0,7.0,2.0,1.0,130.0,85.0,51.0,20.0,13.0,17.0,21.0,143.0,477.0,182.0,366.0
2022-9678,Buenos Aires CH,Clay,32,C,20220103,300,144973,2.0,,Santiago Fa Rodriguez Taverna,R,191.0,ARG,22.4,207680,7.0,,Facundo Diaz Acosta,L,183.0,ARG,21.0,6-4 6-2,3,F,91.0,3.0,1.0,58.0,38.0,27.0,12.0,9.0,3.0,4.0,1.0,4.0,57.0,26.0,14.0,17.0,9.0,1.0,5.0,302.0,175.0,338.0,144.0
2022-9680,Forli 1 CH,Hard,32,C,20220103,237,206091,10.0,,Yan Bondarevskiy,L,191.0,RUS,21.7,123851,,,Davide Galoppini,R,175.0,ITA,27.1,6-2 6-1,3,Q1,62.0,1.0,1.0,48.0,33.0,24.0,10.0,7.0,3.0,3.0,1.0,8.0,55.0,32.0,17.0,8.0,8.0,5.0,10.0,443.0,85.0,685.0,37.0
2022-9678,Buenos Aires CH,Clay,32,C,20220103,254,144870,10.0,,Federico Agustin Gomez,R,191.0,ARG,25.1,105868,1.0,,Wilson Leite,R,178.0,BRA,30.1,6-4 6-3,3,Q2,85.0,5.0,3.0,47.0,27.0,21.0,12.0,9.0,0.0,1.0,0.0,2.0,66.0,49.0,31.0,6.0,10.0,5.0,9.0,947.0,14.0,609.0,48.0
2022-9678,Buenos Aires CH,Clay,32,C,20220103,270,144973,2.0,,Santiago Fa Rodriguez Taverna,R,191.0,ARG,22.4,200346,,,Mats Rosenkranz,L,193.0,GER,23.3,6-3 3-6 6-3,3,R32,114.0,8.0,4.0,74.0,46.0,39.0,17.0,14.0,0.0,1.0,5.0,9.0,81.0,44.0,36.0,15.0,13.0,5.0,7.0,302.0,175.0,404.0,103.0
2022-9678,Buenos Aires CH,Clay,32,C,20220103,271,122536,,,Juan Pablo Paz,R,173.0,ARG,26.9,200331,,Q,Leonardo Aboian,L,175.0,ARG,23.7,6-3 7-5,3,R32,92.0,3.0,5.0,73.0,40.0,30.0,13.0,11.0,4.0,7.0,2.0,1.0,62.0,40.0,22.0,9.0,10.0,1.0,6.0,442.0,86.0,853.0,20.0
2022-9678,Buenos Aires CH,Clay,32,C,20220103,272,111511,,,Noah Rubin,R,175.0,USA,25.8,105180,,,Daniel Dutra Da Silva,L,173.0,BRA,33.4,7-6(5) 6-2,3,R32,106.0,7.0,2.0,74.0,36.0,29.0,17.0,10.0,7.0,8.0,2.0,5.0,63.0,23.0,18.0,15.0,10.0,1.0,4.0,391.0,107.0,349.0,134.0
2022-9678,Buenos Aires CH,Clay,32,C,20220103,273,106292,5.0,,Hernan Casanova,R,178.0,ARG,27.9,200030,,,Facundo Juarez,R,180.0,ITA,24.2,6-4 6-1,3,R32,75.0,0.0,0.0,56.0,47.0,31.0,7.0,8.0,7.0,7.0,0.0,0.0,48.0,38.0,23.0,4.0,9.0,1.0,5.0,325.0,155.0,377.0,113.0
2022-9678,Buenos Aires CH,Clay,32,C,20220103,274,106174,4.0,,Gonzalo Lama,R,180.0,CHI,28.6,106352,,,Matias Franco Descotte,R,191.0,ARG,27.3,7-5 7-6(4),3,R32,134.0,4.0,8.0,71.0,30.0,26.0,21.0,12.0,0.0,2.0,0.0,2.0,92.0,46.0,33.0,21.0,12.0,6.0,9.0,322.0,158.0,469.0,78.0
2022-9680,Forli 1 CH,Hard,32,C,20220103,247,209263,,,Matteo Gigante,L,180.0,ITA,19.9,105778,11.0,,Tobias Simon,R,,GER,30.6,7-6(5) 6-3,3,Q1,83.0,4.0,4.0,75.0,41.0,32.0,18.0,11.0,3.0,4.0,5.0,4.0,68.0,44.0,31.0,11.0,10.0,4.0,6.0,791.0,24.0,475.0,77.0
2022-9678,Buenos Aires CH,Clay,32,C,20220103,276,144870,,Q,Federico Agustin Gomez,R,191.0,ARG,25.1,123812,,,Jose Fco Vidal Azorin,R,178.0,ESP,28.5,3-6 7-6(2) 7-5,3,R32,192.0,8.0,8.0,123.0,67.0,42.0,34.0,16.0,12.0,15.0,1.0,3.0,115.0,90.0,53.0,17.0,17.0,0.0,3.0,947.0,14.0,445.0,85.0
2022-9678,Buenos Aires CH,Clay,32,C,20220103,277,105700,,Q,Jose Pereira,R,180.0,BRA,30.9,209260,8.0,,Luciano Darderi,R,183.0,ITA,19.8,6-4 7-6(3),3,R32,96.0,0.0,0.0,68.0,55.0,35.0,11.0,11.0,1.0,2.0,6.0,0.0,79.0,41.0,30.0,16.0,11.0,4.0,6.0,648.0,41.0,341.0,142.0
