player,rank,points,url_perfil
J. Kubler,230,240,https://www.atptour.com/en/players/jason-kubler/kb95/overview
A. Collarini,231,238,https://www.atptour.com/en/players/andrea-collarini/cc66/overview
K. Coppejans,232,237,https://www.atptour.com/en/players/kimmer-coppejans/cg33/overview
Y. Watanuki,233,233,https://www.atptour.com/en/players/yosuke-watanuki/wb08/overview
A. Moro Canas,234,233,https://www.atptour.com/en/players/alejandro-moro-canas/m0ht/overview
K. Uchida,235,233,https://www.atptour.com/en/players/kaichi-uchida/u120/overview
G. Loffhagen,236,231,https://www.atptour.com/en/players/george-loffhagen/l0cf/overview
F. Ferreira Silva,237,231,https://www.atptour.com/en/players/frederico-ferreira-silva/sn54/overview
M. Houkes,238,231,https://www.atptour.com/en/players/max-houkes/h0cx/overview
J. McCabe,239,230,https://www.atptour.com/en/players/james-mccabe/m0oq/overview
P. Boscardin Dias,240,229,https://www.atptour.com/en/players/pedro-boscardin-dias/b0fi/overview
T. Boyer,241,228,https://www.atptour.com/en/players/tristan-boyer/b0ej/overview
F. Gill,242,228,https://www.atptour.com/en/players/felix-gill/g0eu/overview
D. Galan,243,226,https://www.atptour.com/en/players/daniel-elahi-galan/ge33/overview
C. Broom,244,223,https://www.atptour.com/en/players/charles-broom/bv21/overview
T. Seyboth Wild,245,222,https://www.atptour.com/en/players/thiago-seyboth-wild/sx91/overview
F. Jianu,246,219,https://www.atptour.com/en/players/filip-cristian-jianu/j09x/overview
G. Onclin,247,218,https://www.atptour.com/en/players/gauthier-onclin/o0a2/overview
N. Fatic,248,216,https://www.atptour.com/en/players/nerman-fatic/f840/overview
M. Cassone,249,216,https://www.atptour.com/en/players/murphy-cassone/c0ht/overview
A. Martin,250,215,https://www.atptour.com/en/players/andres-martin/m0np/overview
M. Krueger,251,214,https://www.atptour.com/en/players/mitchell-krueger/kc12/overview
F. Sun,252,214,https://www.atptour.com/en/players/fajing-sun/sx90/overview
D. Blanch,253,213,https://www.atptour.com/en/players/darwin-blanch/b0no/overview
B. Holt,254,213,https://www.atptour.com/en/players/brandon-holt/h09p/overview
H. Squire,255,213,https://www.atptour.com/en/players/henri-squire/s0ak/overview
M. Mmoh,256,211,https://www.atptour.com/en/players/michael-mmoh/mp01/overview
M. Topo,257,210,https://www.atptour.com/en/players/marko-topo/t0fi/overview
S. Gueymard Wayenburg,258,210,https://www.atptour.com/en/players/sascha-gueymard-wayenburg/g0gw/overview
H. Wendelken,259,209,https://www.atptour.com/en/players/harry-wendelken/w0ah/overview
S. Kozlov,260,207,https://www.atptour.com/en/players/stefan-kozlov/ke64/overview
N. Sanchez Izquierdo,261,206,https://www.atptour.com/en/players/nikolas-sanchez-izquierdo/s0gz/overview
J. Shang,262,205,https://www.atptour.com/en/players/juncheng-shang/s0re/overview
Z. Zhang,263,205,https://www.atptour.com/en/players/zhizhen-zhang/z371/overview
D. Dedura,264,205,https://www.atptour.com/en/players/diego-dedura/d0lj/overview
D. Michalski,265,205,https://www.atptour.com/en/players/daniel-michalski/m0e1/overview
I. Gakhov,266,203,https://www.atptour.com/en/players/ivan-gakhov/ge28/overview
F. Roncadelli,267,200,https://www.atptour.com/en/players/franco-roncadelli/r0bt/overview
P. Martin Tiffon,268,199,https://www.atptour.com/en/players/pol-martin-tiffon/m0ea/overview
E. Butvilas,269,199,https://www.atptour.com/en/players/edas-butvilas/b0mm/overview
G. Justo,270,198,https://www.atptour.com/en/players/guido-ivan-justo/j0aw/overview
J. Varillas,271,196,https://www.atptour.com/en/players/juan-pablo-varillas/v836/overview
J. Monday,272,196,https://www.atptour.com/en/players/johannus-monday/m0on/overview
F. Bax,273,192,https://www.atptour.com/en/players/florent-bax/b0bu/overview
M. Damas,274,192,https://www.atptour.com/en/players/miguel-damas/d0cn/overview
T. Monteiro,275,191,https://www.atptour.com/en/players/thiago-monteiro/mj08/overview
Y. Uchiyama,276,191,https://www.atptour.com/en/players/yasutaka-uchiyama/u134/overview
M. Mrva,277,189,https://www.atptour.com/en/players/maxim-mrva/m0se/overview
L. Broady,278,188,https://www.atptour.com/en/players/liam-broady/bi23/overview
M. Kukushkin,279,187,https://www.atptour.com/en/players/mikhail-kukushkin/k926/overview
R. Pacheco Mendez,280,186,https://www.atptour.com/en/players/rodrigo-pacheco-mendez/p0j1/overview
S. Nagal,281,185,https://www.atptour.com/en/players/sumit-nagal/n897/overview
E. Coulibaly,282,185,https://www.atptour.com/en/players/eliakim-coulibaly/c0hb/overview
F. Agamenone,283,184,https://www.atptour.com/en/players/franco-agamenone/aa27/overview
P. Jubb,284,184,https://www.atptour.com/en/players/paul-jubb/j0a4/overview
G. Heide,285,181,https://www.atptour.com/en/players/gustavo-heide/h0du/overview
R. Bertrand,286,181,https://www.atptour.com/en/players/robin-bertrand/b0jj/overview
A. Nedic,287,180,https://www.atptour.com/en/players/andrej-nedic/n0db/overview
R. Peniston,288,180,https://www.atptour.com/en/players/ryan-peniston/ph78/overview
T. Pereira,289,180,https://www.atptour.com/en/players/tiago-pereira/p0k4/overview
I. Marcondes,290,179,https://www.atptour.com/en/players/igor-marcondes/rd48/overview
S. Dostanic,291,177,https://www.atptour.com/en/players/stefan-dostanic/d0d4/overview
L. Marmousez,292,177,https://www.atptour.com/en/players/lilian-marmousez/m0gy/overview
D. Ajdukovic,293,177,https://www.atptour.com/en/players/duje-ajdukovic/a0cj/overview
M. Soto,294,177,https://www.atptour.com/en/players/matias-soto/s0ek/overview
N. Gombos,295,174,https://www.atptour.com/en/players/norbert-gombos/gb93/overview
H. Barton,296,173,https://www.atptour.com/en/players/hynek-barton/b0ou/overview
M. Geerts,297,172,https://www.atptour.com/en/players/michael-geerts/gg65/overview
P. Kotov,298,171,https://www.atptour.com/en/players/pavel-kotov/k09f/overview
D. Rincon,299,171,https://www.atptour.com/en/players/daniel-rincon/r0fp/overview
A. Shelbayh,300,170,https://www.atptour.com/en/players/abdullah-shelbayh/s0nv/overview
K. Smith,301,170,https://www.atptour.com/en/players/keegan-smith/s0dq/overview
S. Purtseladze,302,170,https://www.atptour.com/en/players/saba-purtseladze/p0ea/overview
S. Napolitano,303,168,https://www.atptour.com/en/players/stefano-napolitano/n679/overview
M. Poljicak,304,168,https://www.atptour.com/en/players/mili-poljicak/p0gq/overview
F. Mena,305,168,https://www.atptour.com/en/players/facundo-mena/mj98/overview
A. Boitan,306,167,https://www.atptour.com/en/players/adrian-boitan/b0c0/overview
J. Berrettini,307,166,https://www.atptour.com/en/players/jacopo-berrettini/bu10/overview
S. Kopp,308,165,https://www.atptour.com/en/players/sandro-kopp/k0cj/overview
M. Dellien,309,164,https://www.atptour.com/en/players/murkel-dellien/dc48/overview
P. Brunclik,310,163,https://www.atptour.com/en/players/petr-brunclik/b0ov/overview
M. Rosenkranz,311,163,https://www.atptour.com/en/players/mats-rosenkranz/rh62/overview
D. Kuzmanov,312,162,https://www.atptour.com/en/players/dimitar-kuzmanov/kc33/overview
M. Basing,313,161,https://www.atptour.com/en/players/max-basing/b0je/overview
B. Hassan,314,157,https://www.atptour.com/en/players/benjamin-hassan/hg94/overview
A. Ghibaudo,315,157,https://www.atptour.com/en/players/antoine-ghibaudo/g0iw/overview
P. Henning,316,157,https://www.atptour.com/en/players/philip-henning/h0bf/overview
G. Blancaneaux,317,157,https://www.atptour.com/en/players/geoffrey-blancaneaux/bu54/overview
