trial,hidden_layers,dropout,lr,batch_size,epochs,lambda_decay,smoothing,interaction_set,val_acc,test_acc,log_loss
13,"[256, 128, 64]",0.5,0.0004348866062095985,256,120,0.001,0.07,serve_return,0.6620885110093743,0.6755293357038953,0.6022033988458732
62,[256],0.35,0.000753738154451098,2048,80,0.003,0.03,upset,0.6604534554174842,0.6746403749797963,0.5847325026872418
70,"[128, 64, 32]",0.15000000000000002,0.00027016774990885884,512,120,0.001,0.09,serve_return,0.6593634183562241,0.6738322288669791,0.6124638491162813
69,[64],0.1,0.00022831408054961274,512,120,0.001,0.1,serve_return,0.6593634183562241,0.6734281558105706,0.584906317546232
18,"[256, 128, 64]",0.2,0.000945769244046963,256,100,0.001,0.07,serve_return,0.65838238500109,0.6731857119767254,0.6684888380707273
52,[256],0.35,0.0007084473566475753,2048,80,0.003,0.03,upset,0.657183344233704,0.6726200096977534,0.5912143161080446
99,[64],0.35,0.0009130770201619316,2048,100,0.001,0.07,serve_return,0.6587093961194681,0.6716502343623727,0.6017502046669806
33,[256],0.1,0.000559888392618241,1024,120,0.001,0.0,core,0.6605624591236102,0.671569419751091,0.5992811788529054
48,[64],0.15000000000000002,0.0009458867609869092,2048,80,0.001,0.04,upset,0.6563113145846958,0.6711653466946824,0.5885707686921335
30,"[512, 256, 128]",0.15000000000000002,0.0001916638720525512,1024,80,0.003,0.06,minimal,0.657946370176586,0.6708420882495555,0.5844762449418748
31,"[512, 256, 128, 64]",0.25,0.0003400043138030734,1024,80,0.0001,0.07,core,0.6539132330499237,0.6708420882495555,0.8357166792876501
59,"[512, 256, 128]",0.35,0.0007518965460888823,2048,80,0.0001,0.05,context,0.6587093961194681,0.6693874252464845,0.886216308617555
27,"[128, 128]",0.45000000000000007,0.0006836622546491665,1024,60,0.001,0.05,serve_return,0.6595814257684761,0.6690641668013577,0.593509172539199
67,[256],0.1,0.000331911900490501,512,120,0.001,0.1,serve_return,0.6623065184216264,0.6679327622434136,0.6241714112766996
41,[256],0.25,0.0006866965445900776,2048,80,0.0001,0.03,upset,0.6568563331153259,0.6663972846290609,0.5900256645561189
63,[256],0.30000000000000004,0.0005041278187906198,2048,80,0.003,0.03,upset,0.6606714628297362,0.6646193631808631,0.589225990975703
92,[256],0.35,0.0006277194586903605,2048,80,0.003,0.04,upset,0.6612164813603663,0.663487958622919,0.5930058095783961
